wavelength,energy,0_deltaA,3_deltaA,5_deltaA,0_mdeg,3_mdeg,5_mdeg,0_deltaA_diff,3_deltaA_diff,5_deltaA_diff
312.0,3.9743589743589745,-0.00011574999999999997,-0.0003675000000000002,-0.0003105,-3.8176665000000014,-12.120885000000001,-10.240910999999997,0.0,-0.00025175000000000024,-0.00019475000000000004
316.0,3.9240506329113924,-9.424999999999972e-05,-0.0002947499999999999,-0.0002434999999999998,-3.1085534999999993,-9.721444500000018,-8.031116999999995,0.0,-0.00020050000000000016,-0.00014925000000000008
320.0,3.875,-5.6249999999999876e-05,-0.00022274999999999986,-0.0002442500000000001,-1.8552375000000012,-7.346740499999996,-8.055853499999998,0.0,-0.00016649999999999998,-0.00018800000000000023
324.0,3.8271604938271606,-5.0499999999999764e-05,-0.00021100000000000025,-0.00018324999999999982,-1.6655910000000063,-6.959202000000005,-6.0439514999999915,0.0,-0.00016050000000000049,-0.00013275000000000006
328.0,3.7804878048780486,-5.749999999999939e-05,-0.00016875000000000028,-0.00016274999999999992,-1.896464999999992,-5.565712500000018,-5.3678204999999934,0.0,-0.00011125000000000089,-0.00010525000000000053
332.0,3.7349397590361444,-4.9500000000000065e-05,-0.00013900000000000023,-0.00014000000000000026,-1.6326090000000022,-4.584497999999996,-4.6174800000000005,0.0,-8.950000000000017e-05,-9.05000000000002e-05
336.0,3.6904761904761907,-5.5750000000000244e-05,-0.0001355,-0.00010499999999999995,-1.8387465000000134,-4.469060999999996,-3.4631100000000004,0.0,-7.974999999999974e-05,-4.9249999999999706e-05
340.0,3.6470588235294117,-5.974999999999991e-05,-0.00011599999999999978,-0.00010274999999999998,-1.9706745000000012,-3.8259120000000024,-3.388900500000002,0.0,-5.6249999999999876e-05,-4.300000000000007e-05
344.0,3.604651162790698,-6.075000000000004e-05,-0.00010199999999999966,-8.600000000000003e-05,-2.0036565000000053,-3.3641639999999953,-2.8364519999999978,0.0,-4.124999999999962e-05,-2.524999999999999e-05
348.0,3.5632183908045976,-5.324999999999991e-05,-7.974999999999996e-05,-7.550000000000005e-05,-1.756291499999989,-2.6303145000000008,-2.4901410000000013,0.0,-2.6500000000000048e-05,-2.2250000000000134e-05
