wavelength,energy,-2_deltaA,-4_deltaA,0_deltaA,10_deltaA,2_deltaA,4_deltaA,6_deltaA,8_deltaA,-2_mdeg,-4_mdeg,0_mdeg,10_mdeg,2_mdeg,4_mdeg,6_mdeg,8_mdeg,-2_deltaA_diff,-4_deltaA_diff,0_deltaA_diff,10_deltaA_diff,2_deltaA_diff,4_deltaA_diff,6_deltaA_diff,8_deltaA_diff
584.0,2.1232876712328768,0.00018500000000000005,6.500000000000006e-05,0.0002441666666666667,0.0003645,0.00025225,0.0003265,0.000432,0.00042449999999999996,6.101670000000002,2.1438300000000012,8.053105,12.021939,8.319709500000002,10.768623,14.248224,14.000859,-5.916666666666662e-05,-0.0001791666666666666,0.0,0.00012033333333333335,8.083333333333304e-06,8.233333333333335e-05,0.0001878333333333333,0.0001803333333333333
588.0,2.108843537414966,0.00019175000000000008,6.999999999999997e-05,0.000261111111111111,0.00036649999999999996,0.00026375000000000004,0.000342,0.00043374999999999995,0.00042625000000000003,6.324298500000001,2.3087400000000002,8.61196666666667,12.087902999999997,8.699002499999997,11.279844,14.305942499999999,14.058577499999998,-6.936111111111091e-05,-0.00019111111111111103,0.0,0.00010538888888888897,2.6388888888890464e-06,8.088888888888902e-05,0.00017263888888888895,0.00016513888888888904
592.0,2.0945945945945947,0.00020349999999999996,8.199999999999993e-05,0.00026188888888888887,0.00037074999999999993,0.00028299999999999994,0.00035399999999999993,0.00043775,0.00042599999999999995,6.711837000000001,2.7045239999999993,8.63761933333333,12.2280765,9.333906000000002,11.675628000000001,14.437870500000002,14.050332,-5.838888888888891e-05,-0.00017988888888888894,0.0,0.00010886111111111106,2.111111111111107e-05,9.211111111111106e-05,0.00017586111111111112,0.00016411111111111108
596.0,2.0805369127516777,0.0002132499999999999,9.725e-05,0.00026772222222222215,0.0003735,0.0002922500000000001,0.00035525,0.00043999999999999996,0.00042525000000000006,7.033411499999996,3.207499500000001,8.83001433333333,12.318776999999999,9.638989500000001,11.716855499999998,14.512080000000001,14.025595500000001,-5.447222222222225e-05,-0.00017047222222222214,0.0,0.00010577777777777788,2.4527777777777937e-05,8.752777777777784e-05,0.00017227777777777782,0.00015752777777777792
600.0,2.066666666666667,0.00021849999999999994,0.00010899999999999999,0.00027388888888888894,0.00037074999999999993,0.00029800000000000003,0.00036475000000000006,0.00044500000000000003,0.0004259999999999999,7.206567000000003,3.5950380000000006,9.03340333333333,12.228076500000002,9.828636,12.030184500000003,14.67699,14.050332,-5.5388888888889e-05,-0.00016488888888888895,0.0,9.686111111111099e-05,2.411111111111109e-05,9.086111111111111e-05,0.00017111111111111108,0.00015211111111111095
604.0,2.052980132450331,0.00022999999999999995,0.000116,0.00028827777777777776,0.00036675,0.0003070000000000001,0.00036975000000000007,0.00044275,0.0004255,7.58586,3.8259120000000006,9.507977666666667,12.096148499999998,10.125473999999997,12.1950945,14.602780500000001,14.033841000000004,-5.827777777777781e-05,-0.00017227777777777776,0.0,7.847222222222224e-05,1.8722222222222328e-05,8.147222222222231e-05,0.00015447222222222224,0.00013722222222222223
608.0,2.039473684210526,0.00023525,0.000129,0.00029900000000000006,0.00036200000000000007,0.0003095,0.0003732500000000001,0.00044074999999999995,0.00041950000000000006,7.7590155,4.254677999999998,9.861617999999998,11.939484,10.207929000000002,12.3105315,14.5368165,13.835949,-6.375000000000006e-05,-0.00017000000000000007,0.0,6.300000000000001e-05,1.049999999999993e-05,7.425000000000004e-05,0.0001417499999999999,0.0001205
612.0,2.026143790849673,0.00024025000000000007,0.00013725,0.000303,0.00035875,0.00031649999999999994,0.00037000000000000005,0.0004385,0.000412,7.923925500000003,4.5267795,9.993545999999998,11.832292499999998,10.438802999999997,12.20334,14.462607000000002,13.588584000000003,-6.274999999999993e-05,-0.00016575,0.0,5.575000000000003e-05,1.3499999999999949e-05,6.700000000000006e-05,0.0001355,0.00010899999999999999
616.0,2.012987012987013,0.00024875000000000006,0.00014924999999999997,0.00030550000000000005,0.00035050000000000006,0.00032175,0.00037275000000000003,0.00043825,0.00040500000000000003,8.204272500000002,4.922563499999999,10.076001,11.560191,10.6119585,12.2940405,14.454361500000001,13.357709999999997,-5.675e-05,-0.00015625000000000008,0.0,4.500000000000001e-05,1.6249999999999934e-05,6.724999999999998e-05,0.00013274999999999995,9.949999999999998e-05
620.0,2.0,0.00025224999999999987,0.00015999999999999999,0.0003113888888888889,0.000348,0.0003200000000000001,0.00036849999999999996,0.00043324999999999993,0.0004,8.319709499999998,5.2771199999999965,10.270228333333334,11.477735999999998,10.55424,12.153867000000002,14.289451499999998,13.1928,-5.913888888888901e-05,-0.0001513888888888889,0.0,3.661111111111112e-05,8.6111111111112e-06,5.711111111111108e-05,0.00012186111111111105,8.861111111111114e-05
624.0,1.9871794871794872,0.00025375000000000007,0.00016549999999999996,0.0003112777777777777,0.0003455000000000001,0.00031649999999999994,0.0003725,0.000429,0.00038950000000000003,8.3691825,5.4585209999999975,10.26656366666667,11.395280999999999,10.438802999999998,12.285794999999998,14.149278,12.846488999999998,-5.7527777777777655e-05,-0.00014577777777777777,0.0,3.422222222222238e-05,5.222222222222217e-06,6.122222222222228e-05,0.0001177222222222223,7.822222222222231e-05
628.0,1.9745222929936306,0.00025949999999999997,0.00017725,0.00031077777777777777,0.00034500000000000004,0.0003134999999999999,0.00036624999999999993,0.00042849999999999995,0.00037999999999999997,8.558829,5.846059500000003,10.250072666666668,11.378790000000002,10.339857,12.0796575,14.132787000000002,12.53316,-5.12777777777778e-05,-0.00013352777777777777,0.0,3.422222222222227e-05,2.722222222222156e-06,5.5472222222222164e-05,0.00011772222222222219,6.92222222222222e-05
632.0,1.9620253164556962,0.0002647500000000001,0.00018475000000000002,0.0003133333333333333,0.000338,0.0003185,0.000362,0.000423,0.0003695,8.731984499999996,6.093424499999998,10.334359999999997,11.147916,10.504767000000001,11.939484,13.951386000000003,12.186849,-4.8583333333333204e-05,-0.0001285833333333333,0.0,2.4666666666666652e-05,5.166666666666666e-06,4.866666666666669e-05,0.00010966666666666666,5.616666666666666e-05
636.0,1.949685534591195,0.0002710000000000001,0.00018350000000000007,0.0003146111111111112,0.000323,0.00031675000000000003,0.0003600000000000001,0.00041925,0.00036474999999999995,8.938122,6.052197,10.376503666666668,10.653186,10.447048499999998,11.873520000000003,13.8277035,12.030184499999997,-4.361111111111113e-05,-0.00013111111111111114,0.0,8.38888888888878e-06,2.1388888888888174e-06,4.5388888888888866e-05,0.00010463888888888882,5.013888888888874e-05
640.0,1.9375,0.00028649999999999997,0.0001985,0.00031855555555555554,0.0003145,0.000317,0.0003605,0.00040675,0.00035675,9.449342999999999,6.546927000000004,10.506599333333334,10.372839,10.455294,11.890010999999998,13.415428499999999,11.766328499999998,-3.205555555555557e-05,-0.00012005555555555554,0.0,-4.05555555555554e-06,-1.5555555555555331e-06,4.194444444444444e-05,8.819444444444445e-05,3.8194444444444484e-05
644.0,1.9254658385093169,0.00028149999999999996,0.00020649999999999998,0.0003166666666666667,0.00031047593,0.0003195,0.0003585,0.0004035,0.00034725,9.284433,6.810783000000001,10.444300000000005,10.240117123260001,10.537749,11.824047,13.308237000000002,11.4529995,-3.5166666666666744e-05,-0.00011016666666666672,0.0,-6.19073666666668e-06,2.833333333333312e-06,4.1833333333333284e-05,8.68333333333333e-05,3.058333333333331e-05
648.0,1.9135802469135803,0.00028624999999999994,0.00021049999999999997,0.0003228333333333332,0.00030297376749999997,0.00031749999999999997,0.00035375,0.00039974999999999993,0.00033075,9.441097499999998,6.942711000000003,10.647689,9.992680799685001,10.471785,11.667382499999997,13.184554499999997,10.908796500000001,-3.658333333333324e-05,-0.00011233333333333321,0.0,-1.9859565833333205e-05,-5.33333333333321e-06,3.091666666666683e-05,7.691666666666676e-05,7.916666666666814e-06
652.0,1.901840490797546,0.00028375000000000004,0.00022324999999999992,0.00032561111111111115,0.000294433785,0.00031124999999999995,0.00035275,0.00039174999999999995,0.00033008403,9.358642499999998,7.363231499999998,10.739305666666667,9.71101509687,10.265647499999996,11.6344005,12.9206985,10.88683147746,-4.1861111111111114e-05,-0.00010236111111111123,0.0,-3.117732611111117e-05,-1.4361111111111204e-05,2.713888888888883e-05,6.61388888888888e-05,4.472918888888855e-06
656.0,1.8902439024390243,0.00028925,0.00023400000000000027,0.0003283888888888889,0.0002816609395,0.00031825,0.0003560000000000001,0.00038649999999999996,0.000325600395,9.540043500000003,7.717788000000006,10.830922333333334,9.289741106589,10.4965215,11.741591999999999,12.747543,10.73895222789,-3.9138888888888904e-05,-9.438888888888865e-05,0.0,-4.672794938888889e-05,-1.0138888888888903e-05,2.7611111111111174e-05,5.811111111111105e-05,-2.7884938888889208e-06
